Fecha,Habitat ,Integra,Prima,Profuturo,Comparativo,Promedios AFPs
2013-06-27 00:00:00,0,0,0,0,0,0
2013-07-31 00:00:00,-0.0049786745406824595,0.001436388001016864,-0.0016125980753970426,0.0010713645544664363,0.037626244287447985,-0.0010202771651006137
2013-08-29 00:00:00,-0.010976087622377118,0.002140903502272584,-0.008525576718463657,-0.005738566569724268,0.013046812403676222,-0.005770749414989812
2013-09-30 00:00:00,-0.013101181057567857,0.010617882425833836,0.003727374422969554,0.011103910882932944,0.037153444110555434,0.0030839772833162193
2013-10-31 00:00:00,0.0286671734877324,0.045918557932253856,0.039066149266968386,0.04109916136069702,0.0764463053362141,0.038653870258502976
2013-11-29 00:00:00,0.00597073859673336,0.019871921656497538,0.011603456925791233,0.02827613035080523,0.10054168979938982,0.016415786874402094
2013-12-30 00:00:00,0.021333653846199674,0.04283164863888489,0.036625652690515986,0.0509846869391839,0.11718572642689273,0.0379106123457022
2014-01-31 00:00:00,-0.009966397489483358,0.010436459662466646,0.009693722025344798,0.02210606266930437,0.09207185242911375,0.008058877492487765
2014-02-28 00:00:00,0.00986468484633729,0.026834573378798687,0.03300092377481745,0.044133547107065185,0.13175777518406573,0.028431916463771245
2014-03-31 00:00:00,-0.004226185925464976,0.01103250146688417,0.017294365760823327,0.026157609329601428,0.13800017720668656,0.012550596741232878
2014-04-30 00:00:00,0.02235051375245911,0.036130853635448545,0.04068420782023452,0.03680867309892677,0.14525984068072173,0.03395997646359261
2014-05-30 00:00:00,0.039104241081614255,0.05259521825717339,0.06014336902082018,0.05463305100395366,0.1682774691958533,0.0515694196402518
2014-06-30 00:00:00,0.04848576870281196,0.06390637365353946,0.06852294567466877,0.06719704111614977,0.186474375026229,0.061969006251478664
2014-07-31 00:00:00,0.044359378280729,0.05628783784014968,0.06383242461547844,0.05823112596825086,0.17214548707814692,0.055623023973409846
2014-08-29 00:00:00,0.04864022606382967,0.06378125442967364,0.07106484337811714,0.059744075169611,0.21087905513204364,0.06074744873131993
2014-09-30 00:00:00,0.015142255808561433,0.03470737758145992,0.04240360345495753,0.03660273431738803,0.1950266931884337,0.032178911333767546
2014-10-31 00:00:00,0.010447115683370534,0.026718774510686494,0.03244207892349227,0.032233236646962204,0.2190992289569409,0.02543045670402766
2014-11-28 00:00:00,0.016927322017588953,0.03343014795021482,0.04046343668717545,0.040586097947679534,0.24648805374080052,0.03281489259740339
2014-12-31 00:00:00,-0.004406383214044962,0.013881636759594418,0.017019904279102827,0.023765279442177434,0.24329815462760873,0.012545468095317286
2015-01-30 00:00:00,-0.028056354258307326,-0.014229589467474657,-0.009695875872966053,-0.0019412723413726463,0.21790542496748433,-0.01347931504073005
2015-02-27 00:00:00,-0.006939013743530453,0.00045171362116391833,0.004555486870563508,0.021072138300645138,0.2694823926370318,0.004771002802601704
2015-03-31 00:00:00,-0.018094227722924905,-0.01406612769917448,-0.007678928924028661,0.015072592188968725,0.25343653254899,-0.006197034888556108
2015-04-30 00:00:00,-0.0053883824653692125,-0.000762020833526833,-0.0007034021582835726,0.027796680353583625,0.2614541007726201,0.00522049411338682
2015-05-29 00:00:00,-0.0015124208659966776,0.003004436580437808,0.0006736811108434271,0.03329670364711679,0.2722833679376273,0.008846832557026979
2015-06-30 00:00:00,-0.020729408265289684,-0.012714812520674301,-0.015059088668831322,0.017297366461915153,0.24782016867945122,-0.0078067519606718205
2015-07-31 00:00:00,-0.024878243175442516,-0.019949882392652274,-0.02712866239766243,0.010451762250382801,0.2714921005642692,-0.0153758286504454
2015-08-31 00:00:00,-0.10071410365734157,-0.09992699207931222,-0.10070332800111159,-0.06794009363836129,0.2075909840290464,-0.092258439401397
2015-09-30 00:00:00,-0.12654659703520754,-0.12322734629670307,-0.12309149175545431,-0.0973962884116436,0.18390452806293234,-0.11748458782644933
2015-10-30 00:00:00,-0.08329074627737232,-0.08308761530481834,-0.08403874831029645,-0.05248189408879478,0.2636521992800265,-0.07567505592724641
2015-11-30 00:00:00,-0.07857585868098138,-0.08390822411531607,-0.08621528680630253,-0.04797986576828417,0.2653213327916937,-0.07412188608809667
2015-12-31 00:00:00,-0.1023926565765575,-0.10983398329575778,-0.11655039355401742,-0.07548412682095784,0.2462978129891713,-0.10099722905003164
2016-01-29 00:00:00,-0.15167550877323532,-0.15833499595836453,-0.1686986712416524,-0.12573860228936473,0.19872289225824513,-0.15100693818397243
2016-02-29 00:00:00,-0.14914043152396383,-0.1611495384579712,-0.1702736436099629,-0.1300203957631203,0.19906850528174158,-0.15254092085739673
2016-03-31 00:00:00,-0.08688855527427364,-0.09835008262253309,-0.10231754198136911,-0.06543992724799097,0.26470202403303555,-0.0881897753737905
2016-04-29 00:00:00,-0.049379553210053384,-0.059442651160056426,-0.06744545118970957,-0.020208830392372312,0.26829122767962765,-0.04908963596278659
2016-05-31 00:00:00,-0.049689849710053524,-0.06201435827748403,-0.06855843917581916,-0.03309215458109804,0.28453971622095064,-0.05330735647347479
2016-06-30 00:00:00,-0.06326809456050597,-0.07201086418863256,-0.08739883617856403,-0.04367285034150725,0.29202355146250847,-0.06654591346077346
2016-07-27 00:00:00,-0.020554730506376684,-0.0389298972373634,-0.05485946536887343,-0.010770297271793239,0.3264347875844116,-0.03126557709275837
2016-08-31 00:00:00,-0.00788033627397522,-0.02438441140827441,-0.04089938550032346,0.0017213378929950007,0.32966485542767265,-0.017859257032741327
2016-09-30 00:00:00,-0.008512230864448522,-0.027642392382453917,-0.04153209576756378,0.0035618207809919866,0.3287668453882313,-0.018529908053700944
